tweet,timestamp
@MAstronomers Bar,2024-07-04T05:21:17Z
@historyinmemes Yeah,2024-07-04T05:17:51Z
@Rothmus 😂,2024-07-04T05:02:44Z
@stevenmarkryan Gonna happen!,2024-07-04T05:02:26Z
Yeah!!,2024-07-04T04:58:45Z
@Gfilche @Tesla That is indeed the question,2024-07-04T04:55:13Z
@diana_dukic @teslaownersSV That needs to be fixed,2024-07-04T04:52:42Z
@AdrianDittmann LLMs are under massive pressure,2024-07-04T04:52:11Z
@elon_docs Wish I were wrong 😢,2024-07-04T04:48:14Z
@StephanSturges @paulg 😂,2024-07-04T04:36:23Z
@EndWokeness 🔥,2024-07-04T04:14:33Z
@ananayarora Straight out of the “Silicon Valley” show. The comedy writes itself 🤣🤣,2024-07-04T04:11:37Z
@benhylak Yikes,2024-07-04T04:06:48Z
@The_Kyle_Mann @TheBabylonBee @AP 😂,2024-07-04T03:31:41Z
@Not_the_Bee 😂,2024-07-04T01:43:34Z
@KosherCockney !,2024-07-03T18:26:56Z
@Rainmaker1973 The drone wars will be epic,2024-07-03T17:43:36Z
@ID_AA_Carmack True,2024-07-03T17:28:36Z
@MarioNawfal !,2024-07-03T17:16:23Z
@dvorahfr @Magnific_AI @LumaLabsAI AI everything in the future,2024-07-03T17:00:11Z
@tunguz 😂,2024-07-03T16:56:10Z
@marenkahnert Yes,2024-07-03T16:16:30Z
@BillMelugin_ !,2024-07-03T16:12:46Z
@DavidSacks,2024-07-03T15:55:00Z
"@elon_docs There were no cases of successful privately-funded rocket companies at the start of SpaceX and the last truly successful car company startup was Chrysler, about a century ago",2024-07-03T15:39:37Z
@niccruzpatane @SHAQ @Tesla @WholeMarsBlog @tesla_na Cool,2024-07-03T15:37:47Z
@AzzatAlsaalem !!,2024-07-03T15:24:26Z
@DrEliDavid !!,2024-07-03T14:50:30Z
@BasedBeffJezos Yeah,2024-07-03T14:21:45Z
More satellites capable of providing Internet directly to mobile phones,2024-07-03T14:15:59Z
@micsolana Yeah,2024-07-03T14:12:01Z
@sfstandard !,2024-07-03T14:11:51Z
@TRHLofficial @xDaily It’s awesome 😂,2024-07-03T04:44:16Z
"@kimbal @DanCrenshawTX Hear, hear!",2024-07-03T04:40:27Z
@PhysInHistory How socks and umbrellas defy conservation of mass,2024-07-03T04:39:12Z
@jessica_kirsh !,2024-07-03T04:36:57Z
@TheBabylonBee Does seem that way 😂,2024-07-03T04:20:50Z
Unmodified video,2024-07-03T04:20:10Z
@mazemoore 🔥,2024-07-03T04:19:26Z
@TheBabylonBee 😂,2024-07-03T04:18:14Z
